codigo_ibge,distribuidora
1501303,AXIA NORTE
4127106,COPEL GET
2905701,AXIA NORDESTE
3513504,CTEEP
3131307,CEMIG GERACAO
3205002,ESCELSA
3306305,LIGHT
4209102,CELESC DIST
2925204,AXIA NORDESTE
3538709,CPFL PAULISTA
3518800,BANDEIRANTE
1504208,AXIA NORTE
3525904,CPFL PIRATINGA
3547809,CTEEP
5203203,AXIA SUDESTE - UHE FURNAS
4322004,CEEE TRANSMISSAO
3151206,CEMIG DISTRIB
1505437,ONTE
3131703,CEMIG GERACAO
3536505,CTEEP
3136702,CEMIG DISTRIB
3144805,CEMIG GERACAO
3548708,ELETROPAULO
3301702,LIGHT
3147006,SMTE
2906501,AXIA NORDESTE
3106705,CEMIG DISTRIB
3538006,CTEEP
3524402,BANDEIRANTE
3145901,MANTIQUEIRA-TE
3552205,CPFL PIRATINGA
3526902,ELEKTRO
3117504,CEMIG GERACAO
3552502,BANDEIRANTE
3170206,CEMIG DISTRIB
3304201,AXIA SUDESTE - UHE FURNAS
3140001,AXIA SUDESTE - UHE FURNAS
3168705,CEMIG GERACAO
1505502,ETEPA
2602902,CELPE
3549904,BANDEIRANTE
1502152,AXIA NORTE
3552403,CPFL PAULISTA
3167202,CEMIG DISTRIB
3543907,ELEKTRO
3529401,ELETROPAULO
3136207,CEMIG GERACAO
3501608,CPFL PAULISTA
4125506,COPEL DISTRIB
3118601,CEMIG DISTRIB
3118007,CEMIG DISTRIB
2307650,COELCE
3104007,CEMIG DISTRIB
4119905,COPEL DISTRIB
3519071,CPFL PAULISTA
3530607,BANDEIRANTE
3169356,CEMIG DISTRIB
3170800,CEMIG DISTRIB
3530706,ELEKTRO
3301900,AXIA SUDESTE - UHE FURNAS
5201108,CELG
3509007,ELEKTRO
3170107,CEMIG DISTRIB
3105608,CEMIG DISTRIB
3161908,CEMIG GERACAO
3534401,ELETROPAULO
2607208,AXIA NORDESTE
4122206,COPEL GET
3160702,CEMIG DISTRIB
3546702,ELEKTRO
3135407,CEMIG GERACAO
3146107,CEMIG DISTRIB
4112009,COPEL DISTRIB
4204202,CELESC DIST
3548500,CPFL PIRATINGA
3303500,LIGHT
4113700,COPEL DISTRIB
3502754,CTEEP
5218805,CELG
4203006,CELESC DIST
3543402,CPFL PAULISTA
4208906,CELESC DIST
3200607,ESCELSA
3104205,CEMIG DISTRIB
2613503,AXIA NORDESTE
