uf;total_empresas;tier1;tier2;tier3;demanda_total_MW;cnae_mais_comum
SP;4175283;342946;1893213;1939124;1524016;Comércio varejista
MG;1619139;156224;747745;715170;592645;Comércio varejista
RJ;1211480;105266;550241;555973;442453;Comércio varejista
PR;1102473;101834;546047;454592;401558;Comércio varejista
RS;969943;97275;460234;412434;354714;Comércio varejista
SC;828805;84827;437091;306887;303832;Comércio varejista
BA;782610;61741;304605;416264;284140;Comércio varejista
GO;584658;51412;270670;262576;212616;Comércio varejista
CE;440093;35997;155646;248450;165799;Comércio varejista
PE;440848;37702;180965;222181;161671;Comércio varejista
ES;341066;35302;155209;150555;125275;Comércio varejista
MT;321256;31845;159331;130080;118653;Comércio varejista
PA;326544;26911;118031;181602;118201;Comércio varejista
DF;245077;17354;105965;121758;90361;Comércio varejista
MA;236935;14944;80808;141183;85618;Comércio varejista
MS;210053;18282;98261;93510;75755;Comércio varejista
PB;205665;16712;77542;111411;74960;Comércio varejista
RN;181620;16097;68570;96953;69295;Comércio varejista
AM;173965;13316;63838;96811;64090;Comércio varejista
PI;147478;11180;51904;84394;55668;Comércio varejista
AL;140966;10999;53676;76291;50476;Comércio varejista
TO;102047;9084;44584;48379;37936;Comércio varejista
RO;99945;9642;43681;46622;37557;Comércio varejista
SE;101043;8458;40972;51613;36434;Comércio varejista
AP;32877;2847;11048;18982;12257;Comércio varejista
AC;33650;2499;10402;20749;12229;Comércio varejista
RR;29504;2439;10537;16528;10859;Comércio varejista
EX;10442;3626;4983;1833;7218;Comércio por atacado
