uf;municipio;nome_municipio;cnae_divisao;cnae_descricao;cnae_tier;total_empresas;matrizes
SP;7107;SAO PAULO;10;Fabricação de alimentos;1;26671;26272
SP;7107;SAO PAULO;63;Tratamento de dados e hospedagem;1;20399;20056
RJ;6001;RIO DE JANEIRO;10;Fabricação de alimentos;1;16432;16307
SP;7107;SAO PAULO;25;Fabricação de produtos de metal;1;12690;12530
SP;7107;SAO PAULO;13;Fabricação de produtos têxteis;1;7617;7461
MG;4123;BELO HORIZONTE;10;Fabricação de alimentos;1;6340;6217
SP;7107;SAO PAULO;61;Telecomunicações;1;5990;5588
DF;9701;BRASILIA;10;Fabricação de alimentos;1;5984;5805
BA;3849;SALVADOR;10;Fabricação de alimentos;1;5531;5441
RJ;6001;RIO DE JANEIRO;25;Fabricação de produtos de metal;1;5190;5131
CE;1389;FORTALEZA;10;Fabricação de alimentos;1;5008;4824
PR;7535;CURITIBA;10;Fabricação de alimentos;1;4803;4702
RJ;6001;RIO DE JANEIRO;63;Tratamento de dados e hospedagem;1;4254;4114
GO;9373;GOIANIA;10;Fabricação de alimentos;1;4205;4102
PR;7535;CURITIBA;25;Fabricação de produtos de metal;1;3705;3667
MG;4123;BELO HORIZONTE;25;Fabricação de produtos de metal;1;3505;3455
SP;7107;SAO PAULO;23;Fabricação de minerais não-metálicos;1;3406;3287
RJ;6001;RIO DE JANEIRO;13;Fabricação de produtos têxteis;1;3162;3136
AM;0255;MANAUS;10;Fabricação de alimentos;1;3133;3051
SP;7107;SAO PAULO;22;Fabricação de borracha e plástico;1;3100;2929
RS;8801;PORTO ALEGRE;10;Fabricação de alimentos;1;3095;3008
SP;6477;GUARULHOS;10;Fabricação de alimentos;1;3048;3021
RJ;6001;RIO DE JANEIRO;61;Telecomunicações;1;3035;2636
PE;2531;RECIFE;10;Fabricação de alimentos;1;2975;2861
DF;9701;BRASILIA;25;Fabricação de produtos de metal;1;2781;2758
GO;9373;GOIANIA;25;Fabricação de produtos de metal;1;2771;2741
RS;8599;CAXIAS DO SUL;25;Fabricação de produtos de metal;1;2756;2722
SP;6291;CAMPINAS;10;Fabricação de alimentos;1;2649;2594
SP;7107;SAO PAULO;17;Fabricação de celulose e papel;1;2599;2531
SC;8179;JOINVILLE;25;Fabricação de produtos de metal;1;2579;2550
DF;9701;BRASILIA;63;Tratamento de dados e hospedagem;1;2540;2485
PA;0427;BELEM;10;Fabricação de alimentos;1;2404;2336
SP;6477;GUARULHOS;25;Fabricação de produtos de metal;1;2389;2334
RJ;5897;SAO GONCALO;10;Fabricação de alimentos;1;2386;2376
SP;7107;SAO PAULO;16;Fabricação de produtos de madeira;1;2344;2310
PR;7535;CURITIBA;63;Tratamento de dados e hospedagem;1;2328;2274
MS;9051;CAMPO GRANDE;10;Fabricação de alimentos;1;2318;2220
RJ;5833;DUQUE DE CAXIAS;10;Fabricação de alimentos;1;2292;2269
MG;4123;BELO HORIZONTE;63;Tratamento de dados e hospedagem;1;2280;2236
BA;3849;SALVADOR;25;Fabricação de produtos de metal;1;2273;2251
SP;6291;CAMPINAS;25;Fabricação de produtos de metal;1;2133;2118
AL;2785;MACEIO;10;Fabricação de alimentos;1;2113;2065
RJ;5869;NOVA IGUACU;10;Fabricação de alimentos;1;2099;2087
AM;0255;MANAUS;25;Fabricação de produtos de metal;1;2005;1979
MG;5403;UBERLANDIA;10;Fabricação de alimentos;1;1991;1929
SP;7145;SOROCABA;25;Fabricação de produtos de metal;1;1937;1913
PB;2051;JOAO PESSOA;10;Fabricação de alimentos;1;1886;1862
MT;9067;CUIABA;10;Fabricação de alimentos;1;1857;1792
MG;4371;CONTAGEM;10;Fabricação de alimentos;1;1852;1807
CE;1389;FORTALEZA;25;Fabricação de produtos de metal;1;1832;1806
MG;4371;CONTAGEM;25;Fabricação de produtos de metal;1;1818;1775
PI;1219;TERESINA;10;Fabricação de alimentos;1;1718;1631
RJ;6001;RIO DE JANEIRO;23;Fabricação de minerais não-metálicos;1;1718;1662
SC;8105;FLORIANOPOLIS;10;Fabricação de alimentos;1;1705;1664
ES;5703;VILA VELHA;10;Fabricação de alimentos;1;1675;1623
SP;7107;SAO PAULO;28;Fabricação de máquinas e equipamentos;1;1667;1527
SP;7145;SOROCABA;10;Fabricação de alimentos;1;1661;1643
SP;7075;SAO BERNARDO DO CAMPO;10;Fabricação de alimentos;1;1656;1634
SP;7057;SANTO ANDRE;10;Fabricação de alimentos;1;1638;1624
RN;1761;NATAL;10;Fabricação de alimentos;1;1637;1569
MA;0921;SAO LUIS;10;Fabricação de alimentos;1;1636;1591
SP;6969;RIBEIRAO PRETO;10;Fabricação de alimentos;1;1628;1590
MG;5403;UBERLANDIA;25;Fabricação de produtos de metal;1;1619;1607
ES;5699;SERRA;10;Fabricação de alimentos;1;1614;1596
RS;8801;PORTO ALEGRE;25;Fabricação de produtos de metal;1;1607;1582
ES;5699;SERRA;25;Fabricação de produtos de metal;1;1580;1556
MG;4733;JUIZ DE FORA;10;Fabricação de alimentos;1;1574;1544
SP;6789;OSASCO;10;Fabricação de alimentos;1;1567;1553
RS;8801;PORTO ALEGRE;63;Tratamento de dados e hospedagem;1;1559;1506
RJ;5833;DUQUE DE CAXIAS;25;Fabricação de produtos de metal;1;1557;1544
DF;9701;BRASILIA;61;Telecomunicações;1;1511;1331
SP;7107;SAO PAULO;35;Eletricidade, gás, vapor e ar condicionado;1;1480;1202
MS;9051;CAMPO GRANDE;25;Fabricação de produtos de metal;1;1477;1469
GO;9227;APARECIDA DE GOIANIA;25;Fabricação de produtos de metal;1;1473;1454
PR;7667;LONDRINA;10;Fabricação de alimentos;1;1466;1442
RJ;6001;RIO DE JANEIRO;17;Fabricação de celulose e papel;1;1448;1430
MG;4123;BELO HORIZONTE;13;Fabricação de produtos têxteis;1;1439;1419
RJ;6001;RIO DE JANEIRO;16;Fabricação de produtos de madeira;1;1435;1420
SP;7099;SAO JOSE DOS CAMPOS;10;Fabricação de alimentos;1;1423;1413
SP;6493;IBITINGA;13;Fabricação de produtos têxteis;1;1418;1370
RS;8599;CAXIAS DO SUL;10;Fabricação de alimentos;1;1405;1381
BA;3515;FEIRA DE SANTANA;10;Fabricação de alimentos;1;1403;1352
SC;8179;JOINVILLE;10;Fabricação de alimentos;1;1401;1384
GO;9227;APARECIDA DE GOIANIA;10;Fabricação de alimentos;1;1393;1365
SP;7057;SANTO ANDRE;25;Fabricação de produtos de metal;1;1353;1344
SE;3105;ARACAJU;10;Fabricação de alimentos;1;1314;1299
RJ;5865;NITEROI;10;Fabricação de alimentos;1;1306;1295
SP;6639;LIMEIRA;25;Fabricação de produtos de metal;1;1253;1243
MG;4133;BETIM;25;Fabricação de produtos de metal;1;1232;1202
SP;7099;SAO JOSE DOS CAMPOS;25;Fabricação de produtos de metal;1;1229;1223
SP;7097;SAO JOSE DO RIO PRETO;10;Fabricação de alimentos;1;1225;1199
PR;7535;CURITIBA;13;Fabricação de produtos têxteis;1;1216;1205
SP;7071;SANTOS;10;Fabricação de alimentos;1;1215;1194
PE;2531;RECIFE;25;Fabricação de produtos de metal;1;1211;1193
SC;8047;BLUMENAU;25;Fabricação de produtos de metal;1;1206;1190
GO;9373;GOIANIA;13;Fabricação de produtos têxteis;1;1196;1182
CE;1389;FORTALEZA;61;Telecomunicações;1;1186;1048
GO;9221;ANAPOLIS;10;Fabricação de alimentos;1;1176;1142
PE;2457;JABOATAO DOS GUARARAPES;10;Fabricação de alimentos;1;1160;1138
SP;7075;SAO BERNARDO DO CAMPO;25;Fabricação de produtos de metal;1;1156;1136
SP;7107;SAO PAULO;27;Fabricação de máquinas e equipamentos elétricos;1;1151;1068
PR;7691;MARINGA;10;Fabricação de alimentos;1;1145;1088
SP;7107;SAO PAULO;29;Fabricação de veículos automotores;1;1144;1050
MG;4123;BELO HORIZONTE;61;Telecomunicações;1;1136;964
SP;6969;RIBEIRAO PRETO;25;Fabricação de produtos de metal;1;1136;1127
DF;9701;BRASILIA;13;Fabricação de produtos têxteis;1;1129;1124
RJ;6001;RIO DE JANEIRO;35;Eletricidade, gás, vapor e ar condicionado;1;1123;993
SP;6619;JUNDIAI;10;Fabricação de alimentos;1;1113;1084
PR;7885;SAO JOSE DOS PINHAIS;25;Fabricação de produtos de metal;1;1102;1084
RS;8791;PELOTAS;10;Fabricação de alimentos;1;1097;1068
SP;7121;SAO VICENTE;10;Fabricação de alimentos;1;1096;1092
CE;1389;FORTALEZA;63;Tratamento de dados e hospedagem;1;1093;1040
PR;7535;CURITIBA;61;Telecomunicações;1;1092;916
GO;9373;GOIANIA;63;Tratamento de dados e hospedagem;1;1082;1053
SP;6377;DIADEMA;25;Fabricação de produtos de metal;1;1073;1047
SP;7097;SAO JOSE DO RIO PRETO;25;Fabricação de produtos de metal;1;1067;1055
SP;6713;MOGI DAS CRUZES;10;Fabricação de alimentos;1;1066;1057
SP;6921;PRAIA GRANDE;10;Fabricação de alimentos;1;1061;1059
RJ;5897;SAO GONCALO;25;Fabricação de produtos de metal;1;1053;1044
CE;1389;FORTALEZA;13;Fabricação de produtos têxteis;1;1048;1027
MT;9067;CUIABA;25;Fabricação de produtos de metal;1;1045;1024
PR;7691;MARINGA;25;Fabricação de produtos de metal;1;1026;1010
PE;2531;RECIFE;61;Telecomunicações;1;1021;914
PR;7667;LONDRINA;25;Fabricação de produtos de metal;1;1021;1005
RJ;5877;PETROPOLIS;10;Fabricação de alimentos;1;1010;1001
MG;4133;BETIM;10;Fabricação de alimentos;1;1000;988
ES;5703;VILA VELHA;25;Fabricação de produtos de metal;1;999;986
RJ;5853;MARICA;10;Fabricação de alimentos;1;995;993
PA;0415;ANANINDEUA;10;Fabricação de alimentos;1;992;979
DF;9701;BRASILIA;23;Fabricação de minerais não-metálicos;1;983;937
SP;6875;PIRACICABA;25;Fabricação de produtos de metal;1;969;955
RJ;5869;NOVA IGUACU;25;Fabricação de produtos de metal;1;961;946
ES;5625;CARIACICA;25;Fabricação de produtos de metal;1;952;947
RJ;5901;SAO JOAO DE MERITI;10;Fabricação de alimentos;1;950;948
BA;3965;VITORIA DA CONQUISTA;10;Fabricação de alimentos;1;945;925
MG;4733;JUIZ DE FORA;25;Fabricação de produtos de metal;1;935;920
MG;4865;MONTES CLAROS;10;Fabricação de alimentos;1;930;911
BA;3849;SALVADOR;61;Telecomunicações;1;921;826
RJ;2909;BELFORD ROXO;10;Fabricação de alimentos;1;914;909
SP;6213;BARUERI;63;Tratamento de dados e hospedagem;1;911;870
SP;6219;BAURU;10;Fabricação de alimentos;1;908;892
ES;5623;CACHOEIRO DE ITAPEMIRIM;23;Fabricação de minerais não-metálicos;1;905;865
AM;0255;MANAUS;61;Telecomunicações;1;902;805
SC;8055;BRUSQUE;13;Fabricação de produtos têxteis;1;899;846
PR;7885;SAO JOSE DOS PINHAIS;10;Fabricação de alimentos;1;896;877
SC;8105;FLORIANOPOLIS;63;Tratamento de dados e hospedagem;1;894;870
PR;7493;CASCAVEL;25;Fabricação de produtos de metal;1;891;887
ES;5625;CARIACICA;10;Fabricação de alimentos;1;886;872
ES;5705;VITORIA;10;Fabricação de alimentos;1;884;861
SC;8175;JARAGUA DO SUL;25;Fabricação de produtos de metal;1;881;876
SP;6425;FRANCA;10;Fabricação de alimentos;1;879;869
RS;8771;NOVO HAMBURGO;25;Fabricação de produtos de metal;1;878;871
SP;6875;PIRACICABA;10;Fabricação de alimentos;1;874;864
PA;0427;BELEM;25;Fabricação de produtos de metal;1;865;858
SP;6619;JUNDIAI;25;Fabricação de produtos de metal;1;864;849
AP;0605;MACAPA;10;Fabricação de alimentos;1;859;832
SC;8081;CHAPECO;25;Fabricação de produtos de metal;1;854;850
BA;3849;SALVADOR;13;Fabricação de produtos têxteis;1;853;842
SP;6291;CAMPINAS;63;Tratamento de dados e hospedagem;1;847;814
MG;4123;BELO HORIZONTE;23;Fabricação de minerais não-metálicos;1;845;813
TO;9733;PALMAS;25;Fabricação de produtos de metal;1;842;833
SP;7183;TAUBATE;10;Fabricação de alimentos;1;840;833
SP;6377;DIADEMA;10;Fabricação de alimentos;1;837;828
RO;0003;PORTO VELHO;10;Fabricação de alimentos;1;836;804
SP;6477;GUARULHOS;13;Fabricação de produtos têxteis;1;836;822
RS;8589;CANOAS;10;Fabricação de alimentos;1;831;808
PR;7535;CURITIBA;23;Fabricação de minerais não-metálicos;1;829;798
PB;2051;JOAO PESSOA;63;Tratamento de dados e hospedagem;1;819;798
PB;1981;CAMPINA GRANDE;10;Fabricação de alimentos;1;816;800
RJ;5819;CAMPOS DOS GOYTACAZES;10;Fabricação de alimentos;1;813;782
PR;7777;PONTA GROSSA;25;Fabricação de produtos de metal;1;810;801
MG;5401;UBERABA;10;Fabricação de alimentos;1;809;783
GO;9221;ANAPOLIS;25;Fabricação de produtos de metal;1;806;802
SP;7107;SAO PAULO;20;Fabricação de produtos químicos;1;806;662
AM;0255;MANAUS;63;Tratamento de dados e hospedagem;1;805;782
PE;2381;CARUARU;10;Fabricação de alimentos;1;805;783
RS;8541;BENTO GONCALVES;25;Fabricação de produtos de metal;1;799;792
SC;8327;SAO JOSE;10;Fabricação de alimentos;1;799;781
GO;9373;GOIANIA;61;Telecomunicações;1;796;671
SC;8161;ITAJAI;25;Fabricação de produtos de metal;1;787;753
BA;3849;SALVADOR;63;Tratamento de dados e hospedagem;1;786;762
BA;3515;FEIRA DE SANTANA;25;Fabricação de produtos de metal;1;782;767
MT;9167;VARZEA GRANDE;10;Fabricação de alimentos;1;782;756
SP;6475;GUARUJA;10;Fabricação de alimentos;1;782;778
SC;8047;BLUMENAU;10;Fabricação de alimentos;1;779;761
SP;6313;CARAPICUIBA;10;Fabricação de alimentos;1;778;772
SC;8161;ITAJAI;10;Fabricação de alimentos;1;776;739
SP;6213;BARUERI;10;Fabricação de alimentos;1;773;752
SC;8047;BLUMENAU;13;Fabricação de produtos têxteis;1;768;744
EX;9707;EXTERIOR;28;Fabricação de máquinas e equipamentos;1;767;760
SP;6689;MAUA;10;Fabricação de alimentos;1;764;760
MA;0921;SAO LUIS;25;Fabricação de produtos de metal;1;761;745
SP;6689;MAUA;25;Fabricação de produtos de metal;1;760;746
MG;4445;DIVINOPOLIS;10;Fabricação de alimentos;1;758;747
SP;6511;INDAIATUBA;25;Fabricação de produtos de metal;1;752;740
RS;8683;GRAVATAI;25;Fabricação de produtos de metal;1;743;736
SP;6563;ITAQUAQUECETUBA;25;Fabricação de produtos de metal;1;738;725
PE;2521;PETROLINA;10;Fabricação de alimentos;1;735;717
SP;6639;LIMEIRA;10;Fabricação de alimentos;1;734;722
PI;1219;TERESINA;25;Fabricação de produtos de metal;1;733;721
PR;7535;CURITIBA;16;Fabricação de produtos de madeira;1;731;692
SP;7075;SAO BERNARDO DO CAMPO;63;Tratamento de dados e hospedagem;1;730;724
RS;8801;PORTO ALEGRE;13;Fabricação de produtos têxteis;1;726;712
