uf;municipio;nome_municipio;cnae_divisao;cnae_descricao;cnae_tier;total_empresas;matrizes;filiais
SP;7107;7107;10;Fabricação de alimentos;1;26671;26272;399
SP;7107;7107;63;Tratamento de dados e hospedagem;1;20399;20056;343
RJ;6001;6001;10;Fabricação de alimentos;1;16432;16307;125
SP;7107;7107;25;Fabricação de produtos de metal;1;12690;12530;160
SP;7107;7107;13;Fabricação de produtos têxteis;1;7617;7461;156
MG;4123;4123;10;Fabricação de alimentos;1;6340;6217;123
SP;7107;7107;61;Telecomunicações;1;5990;5588;402
DF;9701;9701;10;Fabricação de alimentos;1;5984;5805;179
BA;3849;3849;10;Fabricação de alimentos;1;5531;5441;90
RJ;6001;6001;25;Fabricação de produtos de metal;1;5190;5131;59
CE;1389;1389;10;Fabricação de alimentos;1;5008;4824;184
PR;7535;7535;10;Fabricação de alimentos;1;4803;4702;101
RJ;6001;6001;63;Tratamento de dados e hospedagem;1;4254;4114;140
GO;9373;9373;10;Fabricação de alimentos;1;4205;4102;103
PR;7535;7535;25;Fabricação de produtos de metal;1;3705;3667;38
MG;4123;4123;25;Fabricação de produtos de metal;1;3505;3455;50
SP;7107;7107;23;Fabricação de minerais não-metálicos;1;3406;3287;119
RJ;6001;6001;13;Fabricação de produtos têxteis;1;3162;3136;26
AM;0255;0255;10;Fabricação de alimentos;1;3133;3051;82
SP;7107;7107;22;Fabricação de borracha e plástico;1;3100;2929;171
RS;8801;8801;10;Fabricação de alimentos;1;3095;3008;87
SP;6477;6477;10;Fabricação de alimentos;1;3048;3021;27
RJ;6001;6001;61;Telecomunicações;1;3035;2636;399
PE;2531;2531;10;Fabricação de alimentos;1;2975;2861;114
DF;9701;9701;25;Fabricação de produtos de metal;1;2781;2758;23
GO;9373;9373;25;Fabricação de produtos de metal;1;2771;2741;30
RS;8599;8599;25;Fabricação de produtos de metal;1;2756;2722;34
SP;6291;6291;10;Fabricação de alimentos;1;2649;2594;55
SP;7107;7107;17;Fabricação de celulose e papel;1;2599;2531;68
SC;8179;8179;25;Fabricação de produtos de metal;1;2579;2550;29
DF;9701;9701;63;Tratamento de dados e hospedagem;1;2540;2485;55
PA;0427;0427;10;Fabricação de alimentos;1;2404;2336;68
SP;6477;6477;25;Fabricação de produtos de metal;1;2389;2334;55
RJ;5897;5897;10;Fabricação de alimentos;1;2386;2376;10
SP;7107;7107;16;Fabricação de produtos de madeira;1;2344;2310;34
PR;7535;7535;63;Tratamento de dados e hospedagem;1;2328;2274;54
MS;9051;9051;10;Fabricação de alimentos;1;2318;2220;98
RJ;5833;5833;10;Fabricação de alimentos;1;2292;2269;23
